event_id,source_id,source_organization,narrative_excerpt,canonical_injury,audited_injury,canonical_fatality,audited_fatality,canonical_actual,audited_actual,consequence_status,error_code,explanation,recommended_repair
EVT-BSEE-0025,SRC-BSEE-0025,Bureau of Safety and Environmental Enforcement (BSEE),SAFETY ALERT  Contact: bseepublicaffairs@bsee.gov  Phone: (800) 200-4853     Figure 1: Looking up at the silencer. Figure 2: Perforated steel section.  Figure 3: Fall distance.           BSEE Alerts Offshore Workers to  Potential Risks of            ,Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0191,SRC-BSEE-0191,Bureau of Safety and Environmental Enforcement (BSEE),SAFETY ALERT   Safety Alert No. 325      Contact: Douglas Morris  18 October 2017           Phone: (202) 208-3974               Bolt Failures      The Bureau of Safety and Environmental Enforcement (BSEE) has been informed about  a recent subsea bolt,None,None reported,False,False,No injuries occurred (Near Miss / Potential Consequence only).,No injuries occurred (Near Miss / Potential Consequence only).,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0052,SRC-BSEE-0052,Bureau of Safety and Environmental Enforcement (BSEE),"SAFETY ALERT  Contact: bseepublicaffairs@bsee.gov  Phone: (800) 200-4853            Heat Advisory – Heat-Related Illnesses Occurring Offshore    Figure 1. www.cdc.gov  Safety Alert No. 467  Aug. 22, 2023       There have been multiple recent instance",Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0210,SRC-BSEE-0210,Bureau of Safety and Environmental Enforcement (BSEE),Trapped  Pressure Beneath  a  Tubing  Plug  Blows  Work  String  from  Well                                                                            BSEE  U.S. Department of the Inte rior  Bureau of Safety and  EnvironmentalEnforcement  Safety  Al ,First aid / minor laceration or contusion,None reported,False,False,Minor injury requiring first aid or medical attention.,Minor injury requiring first aid or medical attention.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0101,SRC-BSEE-0101,Bureau of Safety and Environmental Enforcement (BSEE),"Safety Alert No. 416                                 Contact: Jason Mathews  March 11, 2021                         Phone: (504) 731-1496      Investigation into Grating Failure Fatality Reveals Deficiencies  in Hazard Identification and Communicatio",Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0296,SRC-BSEE-0296,Bureau of Safety and Environmental Enforcement (BSEE),"U.S. Department of the Interior Minerals Management Service Gulf of Mexico OCS Region Safety Alert No. 223 November 29, 2004 Contact: Frank Pausina (504) 736-2560 Loss of Well Control Recently, during a workover operation, a well that had been shut-i",Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0103,SRC-BSEE-0103,Bureau of Safety and Environmental Enforcement (BSEE),"Safety Alert No. 414                         Contact: Jason Mathews  February 24, 2021                                               Phone: (504) 731-1496      Ship Allisions Result in Severe Damage to Fixed Facilities                                ",None,None reported,False,False,No injuries occurred (Near Miss / Potential Consequence only).,No injuries occurred (Near Miss / Potential Consequence only).,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0433,SRC-BSEE-0433,Bureau of Safety and Environmental Enforcement (BSEE),Safety Alert 86 - Fatality,Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0200,SRC-BSEE-0200,Bureau of Safety and Environmental Enforcement (BSEE),1    2    Safe   ty Alert No. – 316    12 Ju 1 2 n   e 2015             Contact:  Steve Rauch  Phone: 571-594-8383          Aviation Near Miss    Overv   iew:  BSEE recently experienced an aviation near miss that narrowly escaped becoming a head-on  ,None,None reported,False,False,No injuries occurred (Near Miss / Potential Consequence only).,No injuries occurred (Near Miss / Potential Consequence only).,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0050,SRC-BSEE-0050,Bureau of Safety and Environmental Enforcement (BSEE),"SAFETY ALERT  Contact: bseepublicaffairs@bsee.gov  Phone: (800) 200-4853              BSEE Identifies Medical Evacuation and Emergency Hazards  During Risk-Based Inspections  In January 2023, BSEE carried out a Performance-Based Risk Inspection (PBRI",First aid / minor laceration or contusion,None reported,False,False,Minor injury requiring first aid or medical attention.,Minor injury requiring first aid or medical attention.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0498,SRC-BSEE-0498,Bureau of Safety and Environmental Enforcement (BSEE),"Safety Alert 38 - Fatality, Man Knocked Overboard",Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0355,SRC-BSEE-0355,Bureau of Safety and Environmental Enforcement (BSEE),Safety Alert No. 164 - Attempt to Stand Gravel Pack Assembly in Der... http://www.gomr.boemre.gov/homepg/offshore/safety/safealt/SA_164...  U.S.    Department of the Interior   Minerals Management Service   Gulf of Mexico OCS Region   Notice No. 164 ,Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0295,SRC-BSEE-0295,Bureau of Safety and Environmental Enforcement (BSEE),"U.S. Department of the Interior Minerals Management Service Gulf of Mexico OCS Region Safety Alert No. 224 December 29, 2004 Contact: Jack Williams (504) 736-1757 Erroneous Activation of Dump Valve Causes Loss of 165 bbls of Oil-Based Mud During dril",First aid / minor laceration or contusion,None reported,False,False,Minor injury requiring first aid or medical attention.,Minor injury requiring first aid or medical attention.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0093,SRC-BSEE-0093,Bureau of Safety and Environmental Enforcement (BSEE),"Safety Alert No. 424                      Contact: bseepublicaffairs@bsee.gov        August 12, 2021                     Phone: (800) 200-4853       Recent Uptick in Lifting Injuries due to Unrecognized Pinch  Point Hazards                           ",Fracture / Lost time injury,Amputation injury,False,False,Lost time / serious personal injury sustained.,Lost time / serious personal injury sustained.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0223,SRC-BSEE-0223,Bureau of Safety and Environmental Enforcement (BSEE),"BOEMRE  U.S. Department of the Interior  Bureau of Ocean Energy Management,  Regulation and Enforcement  Gulf of Mexico OCS Region  Safety  Alert  Safety Alert No. 293 Contact:  Glynn T. Breaux  21 March 2011 (504) 736-2560  Platform RTU Battery Char",None,None reported,False,False,No injuries occurred (Near Miss / Potential Consequence only).,No injuries occurred (Near Miss / Potential Consequence only).,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0445,SRC-BSEE-0445,Bureau of Safety and Environmental Enforcement (BSEE),Safety Alert 75 - Helicopter Crashes: 17 Fatalities,Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0485,SRC-BSEE-0485,Bureau of Safety and Environmental Enforcement (BSEE),"Safety Alert 44 - Man Falls, Fatality",Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0054,SRC-BSEE-0054,Bureau of Safety and Environmental Enforcement (BSEE),"SAFETY ALERT  Contact: bseepublicaffairs@bsee.gov  Phone: 800-200-4853                 Improper Use and Application of High-Pressure Hoses   Can Cause Injuries                    During a recent offshore inspection, a BSEE inspector observed operator",First aid / minor laceration or contusion,None reported,False,False,Minor injury requiring first aid or medical attention.,Minor injury requiring first aid or medical attention.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-BSEE-0462,SRC-BSEE-0462,Bureau of Safety and Environmental Enforcement (BSEE),"Safety Alert 58 - Fatality, Stabbing Board Falls",Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-IMCA-1750,SRC-IMCA-1750,International Marine Contractors Association (IMCA),A member has reported finding shackles used for lifting equipment in an unsafe condition,None,None reported,False,False,No injuries occurred (Near Miss / Potential Consequence only).,No injuries occurred (Near Miss / Potential Consequence only).,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-IMCA-0444,SRC-IMCA-0444,International Marine Contractors Association (IMCA),Near miss: load lifted without notice putting crew in the line of fire,None,None reported,False,False,No injuries occurred (Near Miss / Potential Consequence only).,No injuries occurred (Near Miss / Potential Consequence only).,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-IMCA-0177,SRC-IMCA-0177,International Marine Contractors Association (IMCA),"MAIB: Parted mooring rope leads to fatality Safety Flash Published on 6 February 2025 Generated on 14 September 2026 IMCA SF 02/25 3 minute read The UK Marine Accident Investigation Branch has published Safety Digest 2/2024 , consisting of lessons fr",Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-IMCA-0271,SRC-IMCA-0271,International Marine Contractors Association (IMCA),USCG: hazard from discarded munitions Safety Flash Published on 27 March 2024 Generated on 14 September 2026 IMCA SF 07/24 2 minute read The United States Coastguard (USCG) had published Safety Alert 02-24 relating to hazards presented by discarded a,None,Burn injury,False,False,No injuries occurred (Near Miss / Potential Consequence only).,Burn injury,CONTRADICTED,SEM-009,Source narrative documents injury but consequence field records null/none reported.,Set consequence.injury='Burn injury' and update actual consequence.
EVT-IMCA-0186,SRC-IMCA-0186,International Marine Contractors Association (IMCA),Sudden disconnection of pressurised hose Safety Flash Published on 17 December 2024 Generated on 14 September 2026 IMCA SF 24/24 2 minute read A contractor was performing maintenance on the bulk cargo methanol system on deck of a vessel. What happene,None,None reported,False,False,No injuries occurred (Near Miss / Potential Consequence only).,No injuries occurred (Near Miss / Potential Consequence only).,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-IMCA-0249,SRC-IMCA-0249,International Marine Contractors Association (IMCA),Dropped lifting beam due to parted soft strop Safety Flash Published on 3 June 2024 Generated on 14 September 2026 IMCA SF 11/24 2 minute read During lifting operations a lifting beam weighing 4 Te was dropped from 50 cm What happened? During lifting,None,None reported,False,False,No injuries occurred (Near Miss / Potential Consequence only).,No injuries occurred (Near Miss / Potential Consequence only).,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-IMCA-0123,SRC-IMCA-0123,International Marine Contractors Association (IMCA),Head Injury in Engine Room Safety Flash Published on 14 August 2025 Generated on 14 September 2026 IMCA SF 14/25 2 minute read A Chief Engineer sustained a head laceration injury. What happened? A Chief Engineer sustained a head laceration injury aft,First aid / minor laceration or contusion,None reported,False,False,Minor injury requiring first aid or medical attention.,Minor injury requiring first aid or medical attention.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-IMCA-0051,SRC-IMCA-0051,International Marine Contractors Association (IMCA),MSF: High potential near miss during FRC maintenance Safety Flash Published on 24 March 2026 Generated on 14 September 2026 IMCA SF 06/26 2 minute read The Marine Safety Forum (MSF) has published Safety Alert 26-01 relating to an incident where there,First aid / minor laceration or contusion,None reported,False,False,Minor injury requiring first aid or medical attention.,Minor injury requiring first aid or medical attention.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-IMCA-0274,SRC-IMCA-0274,International Marine Contractors Association (IMCA),"Person struck and injured during lifting operations Safety Flash Published on 19 March 2024 Generated on 14 September 2026 IMCA SF 06/24 2 minute read The incident occurred during decommissioning activities on board a spar, where a fire water pump sk",Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-IMCA-0121,SRC-IMCA-0121,International Marine Contractors Association (IMCA),"Shore-side crane boom collides with vessel mast Safety Flash Published on 14 August 2025 Generated on 14 September 2026 IMCA SF 14/25 2 minute read During shipyard lifting operations, the boom of a dock crane made contact with the vessel mast. What h",Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-IMCA-0067,SRC-IMCA-0067,International Marine Contractors Association (IMCA),BSEE: Miscommunication and trapped pressure causes injury during valve maintenance Safety Flash Published on 13 February 2026 Generated on 14 September 2026 IMCA SF 03/26 3 minute read The United States’ Bureau of Safety & Environmental Enforcement (,First aid / minor laceration or contusion,None reported,False,False,Minor injury requiring first aid or medical attention.,Minor injury requiring first aid or medical attention.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-IMCA-0199,SRC-IMCA-0199,International Marine Contractors Association (IMCA),Dropped sheave and clump weight Safety Flash Published on 24 October 2024 Generated on 14 September 2026 IMCA SF 21/24 2 minute read A high potential dropped object incident occurred when a sheave weighing 204kg fell 64m to deck. What happened? A hig,Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-IMCA-0103,SRC-IMCA-0103,International Marine Contractors Association (IMCA),"Crane cab access platform collapsed Safety Flash Published on 2 October 2025 Generated on 14 September 2026 IMCA SF 18/25 2 minute read On a vessel crane, the access platform to the crane cab failed catastrophically. What happened? The incident occur",Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-IMCA-0253,SRC-IMCA-0253,International Marine Contractors Association (IMCA),"UK MAIB: Leg injury while mooring Safety Flash Published on 3 June 2024 Generated on 14 September 2026 IMCA SF 11/24 2 minute read During unmooring operations, a crew person got caught in the bight of a messenger line mooring rope and was injured. Wh",Fracture / Lost time injury,None reported,False,False,Lost time / serious personal injury sustained.,Lost time / serious personal injury sustained.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
EVT-IMCA-0242,SRC-IMCA-0242,International Marine Contractors Association (IMCA),UK MAIB: Man overboard &#x2013; unguarded opening Safety Flash Published on 2 July 2024 Generated on 14 September 2026 IMCA SF 13/24 3 minute read A crew member fell overboard from a vessel approaching port in the early hours of morning. The UK Marin,Fatal injury,Fatal injury,True,True,Fatal injury occurred.,Fatal injury occurred.,SUPPORTED,NONE,Consequence accurately aligns with source text.,PRESERVE
