event_id,event_type,source_organization,document_title,url,event_date,country,region,facility,sif_potential,sif_label_type,energy_mechanism,energy_status,barrier_state,iogp_supported_rules,dataset_tier,ml_eligibility,duplicate_group_id,provenance_status
EVT-BSEE-0033,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Heat Advisory,https://www.bsee.gov/safety-alerts/heat-advisory,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,EXPLICIT,PRESSURE,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00033,VERIFIED
EVT-BSEE-0034,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Hand Tools Pose Risk to Offshore Personnel,https://www.bsee.gov/safety-alerts/hand-tools-pose-risk-to-offshore-personnel,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,EXPLICIT,UNKNOWN,UNKNOWN,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00034,VERIFIED
EVT-BSEE-0035,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Improperly Depressurizing Piping to Remove a Hydrate Causes Injury,https://www.bsee.gov/safety-alerts/improperly-depressurizing-piping-to-remove-a-hydrate-causes-injury,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,DERIVED,PRESSURE,HIGH_ENERGY_RELEASED,UNKNOWN,Energy isolation; Work authorization,GOLD,ML_ELIGIBLE,GRP-00035,VERIFIED
EVT-BSEE-0036,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),Scam Alert-Suspicious Requests for Payment,https://www.bsee.gov/safety-alerts/scam-alert-suspicious-requests-for-payment,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,BRONZE,ML_LIMITED,GRP-00036,VERIFIED
EVT-BSEE-0037,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Risk Based Inspection Identifies Welding and Burning Hazards,https://www.bsee.gov/safety-alerts/bsee-risk-based-inspection-identifies-welding-and-burning-hazards,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,EXPLICIT,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,Hot work,GOLD,ML_ELIGIBLE,GRP-00037,VERIFIED
EVT-BSEE-0038,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Hazardous Helideck Conditions Results in Near Miss Incident,https://www.bsee.gov/safety-alerts/hazardous-helideck-conditions-results-in-near-miss-incident,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,EXPLICIT,UNKNOWN,UNKNOWN,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00038,VERIFIED
EVT-BSEE-0039,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Safety Alert 480 - Fingerboard Locking Bolt Failure Leads to Near Miss Incident,https://www.bsee.gov/safety-alerts/bsee-safety-alert-480-fingerboard-locking-bolt-failure-leads-to-near-miss-incident,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,EXPLICIT,PRESSURE,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00039,VERIFIED
EVT-BSEE-0040,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Safety Alert 479 - Lack of Adherence to Helideck Safety Procedures Results in Series of Near Miss Incidents,https://www.bsee.gov/safety-alerts/bsee-safety-alert-479-lack-of-adherence-to-helideck-safety-procedures-results-in,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,EXPLICIT,GRAVITATIONAL,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00040,VERIFIED
EVT-BSEE-0041,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Safety Alert 478 - Inadequately Maintained Electrical Connections and Compromised Wiring Integrity (6),https://www.bsee.gov/safety-alerts/bsee-safety-alert-478-inadequately-maintained-electrical-connections-and-compromised,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,EXPLICIT,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,Energy isolation,GOLD,ML_ELIGIBLE,GRP-00041,VERIFIED
EVT-BSEE-0042,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Safety Alert 477 - Hazards of Working in Confined Spaces,https://www.bsee.gov/safety-alerts/bsee-safety-alert-477-hazards-of-working-in-confined-spaces,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,EXPLICIT,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,Confined space; Work authorization,GOLD,ML_ELIGIBLE,GRP-00042,VERIFIED
EVT-BSEE-0043,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Safety Alert 476 - EI 158 Fatality Failure to Use Safety,https://www.bsee.gov/safety-alerts/bsee-safety-alert-476-ei-158-fatality-failure-to-use-safety,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,EXPLICIT,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,Work authorization,GOLD,ML_ELIGIBLE,GRP-00043,VERIFIED
EVT-BSEE-0044,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Safety Alert 475 - Flash Fire from Oxygen Regulator Leads to Burn Injury,https://www.bsee.gov/safety-alerts/bsee-safety-alert-475-flash-fire-from-oxygen-regulator-leads-to-burn-injury,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,EXPLICIT,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,Hot work,GOLD,ML_ELIGIBLE,GRP-00044,VERIFIED
EVT-BSEE-0045,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Safety Alert 474 -Safely Approaching a Helicopter on Offshore Helidecks,https://www.bsee.gov/safety-alerts/bsee-safety-alert-474-safely-approaching-a-helicopter-on-offshore-helidecks,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,EXPLICIT,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,Work authorization,GOLD,ML_ELIGIBLE,GRP-00045,VERIFIED
EVT-BSEE-0046,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Safety Alert 473 -Carbon Monoxide Exposure Risk in Offshore Environments,https://www.bsee.gov/safety-alerts/bsee-safety-alert-473-carbon-monoxide-exposure-risk-in-offshore-environments,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,EXPLICIT,PRESSURE,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00046,VERIFIED
EVT-BSEE-0047,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Safety Alert 472 - Tote Tank Drain Nozzles Pose Leak Hazard,https://www.bsee.gov/safety-alerts/safety-alert-472-tote-tank-drain-nozzles-pose-leak-hazard,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,DERIVED,PRESSURE,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00047,VERIFIED
EVT-BSEE-0048,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),Safety Alert 471 - Pipe Bond Failure on Firefighting System Investigated and Repaired,https://www.bsee.gov/safety-alerts/safety-alert-471-pipe-bond-failure-on-firefighting-system-investigated-and-repaired,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,DERIVED,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00048,VERIFIED
EVT-BSEE-0049,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Safety Alert 470 - Bypass of Emergency Shutdown in Rented Equipment Results in Additional Risk to Personnel and the Environment,https://www.bsee.gov/safety-alerts/bsee-safety-alert-470-bypass-of-emergency-shutdown-in-rented-equipment-results-in,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,DERIVED,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,Bypassing safety controls,GOLD,ML_ELIGIBLE,GRP-00049,VERIFIED
EVT-BSEE-0050,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Safety Alert 469 - BSEE Identifies Medical Evacuation and Emergency Hazards During Risk-Based Inspections,https://www.bsee.gov/safety-alerts/bsee-safety-alert-469-bsee-identifies-medical-evacuation-and-emergency-hazards-during,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,EXPLICIT,UNKNOWN,UNKNOWN,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00050,VERIFIED
EVT-BSEE-0051,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Safety Alert 468 - Red Zone Hazards Pose Increased Risk to Personnel During Lifting Operations,https://www.bsee.gov/safety-alerts/bsee-safety-alert-468-red-zone-hazards-pose-increased-risk-to-personnel-during,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,EXPLICIT,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,Line of fire; Safe mechanical lifting,GOLD,ML_ELIGIBLE,GRP-00051,VERIFIED
EVT-BSEE-0052,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Safety Alert 467 - Heat Advisory - Heat Related Illnesses Occurring Offshore,https://www.bsee.gov/safety-alerts/bsee-safety-alert-467-heat-advisory-heat-related-illnesses-occurring-offshore,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,EXPLICIT,PRESSURE,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00052,VERIFIED
EVT-BSEE-0053,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Safety Alert  466 - Lack of Uninterruptible Power Supply,https://www.bsee.gov/safety-alerts/bsee-safety-alert-466-lack-of-uninterruptible-power-supply,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,DERIVED,THERMAL,HIGH_ENERGY_RELEASED,FAILED,,SILVER,ML_ELIGIBLE,GRP-00053,VERIFIED
EVT-BSEE-0054,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Safety Alert 465 - Improper Use High Pressure Hoses Leads to Injuries,https://www.bsee.gov/safety-alerts/bsee-safety-alert-465-improper-use-high-pressure-hoses-leads-to-injuries,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,EXPLICIT,PRESSURE,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00054,VERIFIED
EVT-BSEE-0055,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Safety Alert 464 - Unexpected H2S Detection at Offshore Facilities,https://www.bsee.gov/safety-alerts/bsee-safety-alert-464-unexpected-h2s-detection-at-offshore-facilities,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,DERIVED,PRESSURE,HIGH_ENERGY_RELEASED,UNKNOWN,,SILVER,ML_ELIGIBLE,GRP-00055,VERIFIED
EVT-BSEE-0056,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Safety Alert 463 - Adaptation and Modification of Tool Results in Injury,https://www.bsee.gov/safety-alerts/bsee-safety-alert-463-adaptation-and-modification-of-tool-results-in-injury,,United States,US Gulf of Mexico / OCS,UNKNOWN,TRUE,EXPLICIT,HYDRAULIC,HIGH_ENERGY_RELEASED,UNKNOWN,Work authorization,GOLD,ML_ELIGIBLE,GRP-00056,VERIFIED
EVT-BSEE-0057,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Safety Alert 462 - Process Explosion Causes Medical Evacuation,https://www.bsee.gov/safety-alerts/bsee-safety-alert-462-process-explosion-causes-medical-evacuation,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,EXPLICIT,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,Working at height,GOLD,ML_ELIGIBLE,GRP-00057,VERIFIED
EVT-BSEE-0058,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),BSEE Safety Alert 461 - Recent Tagline Entanglements Result in Several high Potential Near Misses,https://www.bsee.gov/safety-alerts/bsee-safety-alert-461-recent-tagline-entanglements-result-in-several-high-potential,,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,TRUE,EXPLICIT,THERMAL,HIGH_ENERGY_RELEASED,UNKNOWN,Line of fire,GOLD,ML_ELIGIBLE,GRP-00058,VERIFIED
