event_id,rule_id,rule_name,v2_2_status,v2_2_1_status,evidence_status,evidence_text,evidence_start,evidence_end,offset_verified,evidence_source,grounding_type,semantic_conflict
EVT-BSEE-0033,IOGP-08,Work authorization,DERIVED,AMBIGUOUS,AMBIGUOUS,job safety analysis,3267,3286,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0034,IOGP-01,Bypassing safety controls,NONE,AMBIGUOUS,AMBIGUOUS,bypassing,2459,2468,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0034,IOGP-04,Energy isolation,NONE,DERIVED,DERIVED,tagout,2233,2239,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0034,IOGP-08,Work authorization,NONE,DERIVED,DERIVED,job safety analysis,1058,1077,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0035,IOGP-04,Energy isolation,EXPLICIT,SUPPORTED,SUPPORTED,isolate,768,775,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0035,IOGP-08,Work authorization,EXPLICIT,SUPPORTED,SUPPORTED,JSA,2245,2248,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0037,IOGP-05,Hot work,EXPLICIT,SUPPORTED,SUPPORTED,Hot work,1387,1395,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0037,IOGP-07,Safe mechanical lifting,EXPLICIT,UNSUPPORTED,UNSUPPORTED,NONE,-1,-1,False,UNGROUNDED,UNGROUNDED,False
EVT-BSEE-0037,IOGP-08,Work authorization,EXPLICIT,DERIVED,DERIVED,JSA,4067,4070,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0039,IOGP-07,Safe mechanical lifting,EXPLICIT,UNSUPPORTED,UNSUPPORTED,NONE,-1,-1,False,UNGROUNDED,UNGROUNDED,False
EVT-BSEE-0039,IOGP-09,Working at height,NONE,AMBIGUOUS,AMBIGUOUS,derrick,417,424,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0040,IOGP-07,Safe mechanical lifting,EXPLICIT,AMBIGUOUS,AMBIGUOUS,A helicopter was erroneously given a green deck clearance for landing despite the hazard posed by an improperly stowed crane interfering with the helicopter’s safe approach,1748,1920,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0041,IOGP-04,Energy isolation,EXPLICIT,SUPPORTED,SUPPORTED,isolated,3252,3260,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0041,IOGP-08,Work authorization,NONE,DERIVED,DERIVED,stop work,3265,3274,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0042,IOGP-02,Confined space,EXPLICIT,SUPPORTED,SUPPORTED,confined space,1231,1245,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0042,IOGP-08,Work authorization,EXPLICIT,SUPPORTED,SUPPORTED,work permit,3403,3414,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0043,IOGP-03,Driving,NONE,DERIVED,DERIVED,Figure 2 - Part of casing protruding out of well drive-pipe,0,59,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0043,IOGP-05,Hot work,DERIVED,DERIVED,DERIVED,ignition,436,444,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0043,IOGP-06,Line of fire,NONE,AMBIGUOUS,AMBIGUOUS,pressure release,402,418,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0043,IOGP-08,Work authorization,EXPLICIT,SUPPORTED,SUPPORTED,JSA,5474,5477,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0043,IOGP-09,Working at height,EXPLICIT,AMBIGUOUS,AMBIGUOUS,grating,81,88,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0044,IOGP-05,Hot work,EXPLICIT,SUPPORTED,SUPPORTED,"efer to Figure 2) suddenly burst, starting a flash fire while the crew member was turning the valve to supply oxygen for welding",448,576,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0044,IOGP-07,Safe mechanical lifting,EXPLICIT,DERIVED,DERIVED,"and second-degree burns on his left wrist when he reached out to grab an oxygen bottle valve, even though he was wearing rigging gloves and a fire-retardant shirt ( Figure 1)",220,394,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0044,IOGP-09,Working at height,NONE,AMBIGUOUS,AMBIGUOUS,"(800) 200-4853 Flash Fire from Oxygen Regulator Leads to Burn Injury During the process of decommissioning a platform, a derrick barge crew member sustained first- and second-degree burns on his left wrist when he reached out to grab an oxygen bottl",56,305,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0045,IOGP-03,Driving,DERIVED,DERIVED,DERIVED,collision,2602,2611,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0045,IOGP-08,Work authorization,DERIVED,SUPPORTED,SUPPORTED,Stop Work,1759,1768,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0046,IOGP-04,Energy isolation,NONE,AMBIGUOUS,AMBIGUOUS,isolated,521,529,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0047,IOGP-04,Energy isolation,EXPLICIT,AMBIGUOUS,AMBIGUOUS,") Isolating d rain connection: If feasible, isolate the tote tank’s drain connection from the nozzle before moving or lifting the ta",2975,3107,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0047,IOGP-05,Hot work,NONE,AMBIGUOUS,AMBIGUOUS,weld,1463,1467,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0047,IOGP-07,Safe mechanical lifting,EXPLICIT,AMBIGUOUS,AMBIGUOUS,Crane,479,484,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0048,IOGP-04,Energy isolation,DERIVED,DERIVED,DERIVED,isolated,699,707,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0049,IOGP-01,Bypassing safety controls,EXPLICIT,SUPPORTED,SUPPORTED,gov Phone: (800) 200-4853 Bypass of Emergency Shutdown in Rented Equipment Results in Additional Risk to Personnel and the Environment Figure 2: ESD for,45,197,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0049,IOGP-05,Hot work,EXPLICIT,DERIVED,DERIVED,spark,520,525,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0049,IOGP-06,Line of fire,EXPLICIT,UNSUPPORTED,UNSUPPORTED,NONE,-1,-1,False,UNGROUNDED,UNGROUNDED,False
EVT-BSEE-0050,IOGP-07,Safe mechanical lifting,EXPLICIT,AMBIGUOUS,AMBIGUOUS,hoisting,2109,2117,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0051,IOGP-05,Hot work,EXPLICIT,UNSUPPORTED,UNSUPPORTED,NONE,-1,-1,False,UNGROUNDED,UNGROUNDED,False
EVT-BSEE-0051,IOGP-06,Line of fire,EXPLICIT,SUPPORTED,SUPPORTED,line of fire,800,812,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0051,IOGP-07,Safe mechanical lifting,EXPLICIT,SUPPORTED,SUPPORTED,crane,1157,1162,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0052,IOGP-08,Work authorization,DERIVED,AMBIGUOUS,AMBIGUOUS,job safety analysis,3498,3517,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0053,IOGP-01,Bypassing safety controls,EXPLICIT,DERIVED,DERIVED,bypass,1390,1396,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0053,IOGP-04,Energy isolation,DERIVED,DERIVED,DERIVED,isolating,1330,1339,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0053,IOGP-05,Hot work,EXPLICIT,DERIVED,DERIVED,"system encountered further issues when the power shunt circuit breaker 1 tripped, leading to smoke and electrical arcing/sparks emanating from the power transformer case within the UPS inverter section",741,942,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0055,IOGP-02,Confined space,DERIVED,DERIVED,DERIVED,Figure 1: Ballast tank in which H 2 S was detected,0,50,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0055,IOGP-04,Energy isolation,DERIVED,DERIVED,DERIVED,isolated,1360,1368,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0055,IOGP-08,Work authorization,EXPLICIT,DERIVED,DERIVED,Job Safety Analysis,4033,4052,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0056,IOGP-08,Work authorization,DERIVED,SUPPORTED,SUPPORTED,as no apparent findings that the worker potentially used the compass card to circumvent the requirement of modifying the Job Safety Analysis when the scope of the job changed,2423,2597,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0057,IOGP-03,Driving,DERIVED,DERIVED,DERIVED,transport,1759,1768,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0057,IOGP-04,Energy isolation,EXPLICIT,DERIVED,DERIVED,isolation,1883,1892,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0057,IOGP-05,Hot work,EXPLICIT,DERIVED,DERIVED,ignition,1971,1979,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0057,IOGP-07,Safe mechanical lifting,EXPLICIT,AMBIGUOUS,AMBIGUOUS,hoist,139,144,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0057,IOGP-09,Working at height,EXPLICIT,SUPPORTED,SUPPORTED,"wn the gasket so he could verify the pipe size, then exited the scaffolding and relocated to the tool shed to retrieve a fall protection harness",877,1021,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0058,IOGP-05,Hot work,EXPLICIT,AMBIGUOUS,AMBIGUOUS,welding,590,597,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0058,IOGP-06,Line of fire,EXPLICIT,SUPPORTED,SUPPORTED,line of fire,3710,3722,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0058,IOGP-07,Safe mechanical lifting,EXPLICIT,AMBIGUOUS,AMBIGUOUS,crane,910,915,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0058,IOGP-08,Work authorization,NONE,AMBIGUOUS,AMBIGUOUS,Job Safety Analysis,4914,4933,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0059,IOGP-06,Line of fire,EXPLICIT,SUPPORTED,SUPPORTED,line of fire,4730,4742,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0059,IOGP-07,Safe mechanical lifting,EXPLICIT,SUPPORTED,SUPPORTED,"gov Phone: (800) 200-4853 Overhaul Ball Crashes to Deck Resulting in High Potential, Near-Miss Fatality While conducting crane operations during a decommissioning/well abandonment activity, a 700-pound crane headache ball fell 24 feet, crashing to",45,292,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0059,IOGP-08,Work authorization,EXPLICIT,SUPPORTED,SUPPORTED,JSA,5055,5058,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0060,IOGP-06,Line of fire,EXPLICIT,DERIVED,DERIVED,struck by,507,516,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0060,IOGP-07,Safe mechanical lifting,DERIVED,DERIVED,DERIVED,Winch,1122,1127,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0060,IOGP-08,Work authorization,EXPLICIT,SUPPORTED,SUPPORTED,Job Safety Analysis,2305,2324,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0061,IOGP-01,Bypassing safety controls,NONE,DERIVED,DERIVED,"drogen Embrittlement In July 2020, approximately 479 barrels of oil released into the Gulf of Mexico (GOM) from a subsea jumper",149,276,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0062,IOGP-06,Line of fire,NONE,DERIVED,DERIVED,pinch point,819,830,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0062,IOGP-07,Safe mechanical lifting,EXPLICIT,DERIVED,DERIVED,rigging,959,966,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0062,IOGP-08,Work authorization,NONE,AMBIGUOUS,AMBIGUOUS,Stop Work,1026,1035,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0063,IOGP-05,Hot work,EXPLICIT,UNSUPPORTED,UNSUPPORTED,NONE,-1,-1,False,UNGROUNDED,UNGROUNDED,False
EVT-BSEE-0063,IOGP-07,Safe mechanical lifting,EXPLICIT,UNSUPPORTED,UNSUPPORTED,NONE,-1,-1,False,UNGROUNDED,UNGROUNDED,False
EVT-BSEE-0063,IOGP-08,Work authorization,EXPLICIT,SUPPORTED,SUPPORTED,risk assessment,1635,1650,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0064,IOGP-04,Energy isolation,EXPLICIT,DERIVED,DERIVED,Depressurize,3100,3112,True,SOURCE_FACT,EXPLICIT_SOURCE_TEXT,False
EVT-BSEE-0064,IOGP-06,Line of fire,NONE,AMBIGUOUS,AMBIGUOUS,", whip check or safety cable) designed to suppress the hose recoil when a pressurized release occurs",1062,1162,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0064,IOGP-07,Safe mechanical lifting,EXPLICIT,UNSUPPORTED,UNSUPPORTED,NONE,-1,-1,False,UNGROUNDED,UNGROUNDED,False
EVT-BSEE-0065,IOGP-06,Line of fire,EXPLICIT,AMBIGUOUS,AMBIGUOUS,dropped object,1141,1155,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
EVT-BSEE-0065,IOGP-07,Safe mechanical lifting,EXPLICIT,AMBIGUOUS,AMBIGUOUS,crane,650,655,True,DERIVED_FACT,AMBIGUOUS_PARTIAL_MATCH,False
