event_id,field_changed,v2_1_value,v2_2_value,change_reason,evidence_reference
EVT-BSEE-0045,iogp_rules,NONE,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_2602:2611
EVT-BSEE-0047,iogp_rules,Energy isolation; Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_2975:3107
EVT-BSEE-0049,iogp_rules,Bypassing safety controls; Hot work; Line of fire,Bypassing safety controls,Two-pass semantic re-evaluation with exact character offset validation,char_45:197
EVT-BSEE-0050,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_2109:2117
EVT-BSEE-0053,iogp_rules,Bypassing safety controls; Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1390:1396
EVT-BSEE-0055,iogp_rules,Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:50
EVT-BSEE-0056,iogp_rules,NONE,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_2423:2597
EVT-BSEE-0057,iogp_rules,Energy isolation; Hot work; Safe mechanical lifting; Working at height,Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_1759:1768
EVT-BSEE-0058,iogp_rules,Hot work; Line of fire; Safe mechanical lifting,Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_590:597
EVT-BSEE-0060,iogp_rules,Line of fire; Work authorization,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_507:516
EVT-BSEE-0062,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_819:830
EVT-BSEE-0063,iogp_rules,Safe mechanical lifting; Safe mechanical lifting; Work authorization,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_1635:1650
EVT-BSEE-0064,iogp_rules,Energy isolation; Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_3100:3112
EVT-BSEE-0065,iogp_rules,Line of fire; Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1141:1155
EVT-BSEE-0066,iogp_rules,Confined space; Energy isolation; Hot work; Work authorization; Working at height,Hot work; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_2086:2095
EVT-BSEE-0067,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_32:247
EVT-BSEE-0068,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,NONE
EVT-BSEE-0070,iogp_rules,Hot work; Work authorization,Hot work,Two-pass semantic re-evaluation with exact character offset validation,char_1154:1160
EVT-BSEE-0071,iogp_rules,Line of fire; Safe mechanical lifting,Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_871:1014
EVT-BSEE-0072,iogp_rules,Hot work; Working at height,Hot work; Work authorization; Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_32:184
EVT-BSEE-0073,iogp_rules,Safe mechanical lifting; Line of fire; Safe mechanical lifting; Work authorization; Working at height,Line of fire; Safe mechanical lifting; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_2323:2335
EVT-BSEE-0074,iogp_rules,Safe mechanical lifting; Line of fire; Safe mechanical lifting; Work authorization,Line of fire; Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_2254:2266
EVT-BSEE-0075,iogp_rules,Safe mechanical lifting; Energy isolation; Safe mechanical lifting; Work authorization,Energy isolation; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_3018:3030
EVT-BSEE-0078,iogp_rules,Safe mechanical lifting; Working at height,Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_134:371
EVT-BSEE-0079,iogp_rules,Work authorization; Working at height,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_2479:2482
EVT-BSEE-0084,iogp_rules,Bypassing safety controls; Safe mechanical lifting; Safe mechanical lifting; Work authorization,Bypassing safety controls,Two-pass semantic re-evaluation with exact character offset validation,char_265:394
EVT-BSEE-0089,iogp_rules,Safe mechanical lifting; Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_796:804
EVT-BSEE-0090,iogp_rules,Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_555:560
EVT-BSEE-0091,iogp_rules,Line of fire; Safe mechanical lifting; Work authorization; Working at height,Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_438:444
EVT-BSEE-0093,iogp_rules,Safe mechanical lifting; Working at height,Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_53:281
EVT-BSEE-0094,iogp_rules,Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:48
EVT-BSEE-0096,iogp_rules,Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,NONE
EVT-BSEE-0097,iogp_rules,Work authorization,Energy isolation; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_1408:1415
EVT-BSEE-0098,iogp_rules,NONE,Energy isolation,Two-pass semantic re-evaluation with exact character offset validation,char_1408:1544
EVT-BSEE-0101,iogp_rules,Hot work; Safe mechanical lifting; Working at height,Hot work,Two-pass semantic re-evaluation with exact character offset validation,char_3115:3123
EVT-BSEE-0104,iogp_rules,Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_163:412
EVT-BSEE-0105,iogp_rules,Energy isolation,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_2037:2041
EVT-BSEE-0106,iogp_rules,NONE,Energy isolation,Two-pass semantic re-evaluation with exact character offset validation,char_1237:1243
EVT-BSEE-0107,iogp_rules,Hot work; Safe mechanical lifting; Work authorization; Working at height,Hot work; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_2331:2339
EVT-BSEE-0109,iogp_rules,Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,NONE
EVT-BSEE-0113,iogp_rules,Safe mechanical lifting; Work authorization,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_2247:2252
EVT-BSEE-0114,iogp_rules,Energy isolation,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_353:534
EVT-BSEE-0116,iogp_rules,Energy isolation,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_2602:2608
EVT-BSEE-0118,iogp_rules,Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1964:1983
EVT-BSEE-0123,iogp_rules,Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1603:1610
EVT-BSEE-0125,iogp_rules,Line of fire,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_678:851
EVT-BSEE-0126,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_137:142
EVT-BSEE-0128,iogp_rules,Hot work; Work authorization; Working at height,Hot work; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_3670:3696
EVT-BSEE-0129,iogp_rules,Confined space; Hot work,Hot work,Two-pass semantic re-evaluation with exact character offset validation,char_2080:2088
EVT-BSEE-0133,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_2254:2502
EVT-BSEE-0134,iogp_rules,Line of fire; Safe mechanical lifting; Work authorization,Line of fire; Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_624:828
EVT-BSEE-0138,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_331:338
EVT-BSEE-0139,iogp_rules,Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_950:954
EVT-BSEE-0140,iogp_rules,Bypassing safety controls,Energy isolation; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_95:103
EVT-BSEE-0142,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_36:263
EVT-BSEE-0147,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_602:609
EVT-BSEE-0148,iogp_rules,Line of fire,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_445:450
EVT-BSEE-0150,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_233:240
EVT-BSEE-0151,iogp_rules,Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,NONE
EVT-BSEE-0152,iogp_rules,Safe mechanical lifting; Working at height,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_2824:2833
EVT-BSEE-0153,iogp_rules,Driving; Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_2033:2040
EVT-BSEE-0154,iogp_rules,Safe mechanical lifting; Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_935:1046
EVT-BSEE-0155,iogp_rules,Safe mechanical lifting; Line of fire; Safe mechanical lifting; Work authorization,Safe mechanical lifting; Work authorization; Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_1822:1964
EVT-BSEE-0156,iogp_rules,Safe mechanical lifting; Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_80:89
EVT-BSEE-0158,iogp_rules,Safe mechanical lifting; Work authorization,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_116:121
EVT-BSEE-0161,iogp_rules,Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_590:605
EVT-BSEE-0162,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_749:756
EVT-BSEE-0164,iogp_rules,Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_620:627
EVT-BSEE-0166,iogp_rules,Hot work; Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_2389:2540
EVT-BSEE-0169,iogp_rules,Safe mechanical lifting; Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1001:1008
EVT-BSEE-0173,iogp_rules,Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,NONE
EVT-BSEE-0175,iogp_rules,Hot work; Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_3088:3093
EVT-BSEE-0176,iogp_rules,Work authorization; Working at height,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_538:544
EVT-BSEE-0184,iogp_rules,Safe mechanical lifting; Work authorization,Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_78:83
EVT-BSEE-0186,iogp_rules,Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_371:377
EVT-BSEE-0187,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_2642:2649
EVT-BSEE-0188,iogp_rules,Hot work; Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_2477:2485
EVT-BSEE-0193,iogp_rules,Driving,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_2524:2531
EVT-BSEE-0195,iogp_rules,Safe mechanical lifting; Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_729:734
EVT-BSEE-0196,iogp_rules,Line of fire,NONE,Two-pass semantic re-evaluation with exact character offset validation,NONE
EVT-BSEE-0202,iogp_rules,Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_898:907
EVT-BSEE-0209,iogp_rules,Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_997:1004
EVT-BSEE-0211,iogp_rules,Hot work; Work authorization; Working at height,Hot work; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_2000:2249
EVT-BSEE-0212,iogp_rules,Safe mechanical lifting; Line of fire; Safe mechanical lifting; Work authorization,Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_911:920
EVT-BSEE-0214,iogp_rules,Safe mechanical lifting; Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_221:227
EVT-BSEE-0215,iogp_rules,Safe mechanical lifting; Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_535:540
EVT-BSEE-0218,iogp_rules,Safe mechanical lifting; Safe mechanical lifting; Work authorization,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_247:403
EVT-BSEE-0220,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_2491:2497
EVT-BSEE-0223,iogp_rules,Energy isolation,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1560:1725
EVT-BSEE-0224,iogp_rules,Energy isolation; Work authorization,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_981:988
EVT-BSEE-0225,iogp_rules,Working at height,Energy isolation,Two-pass semantic re-evaluation with exact character offset validation,char_1018:1201
EVT-BSEE-0228,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_2043:2241
EVT-BSEE-0232,iogp_rules,Safe mechanical lifting,Bypassing safety controls,Two-pass semantic re-evaluation with exact character offset validation,char_1424:1672
EVT-BSEE-0233,iogp_rules,Safe mechanical lifting; Work authorization,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_180:185
EVT-BSEE-0234,iogp_rules,Safe mechanical lifting; Work authorization,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_371:376
EVT-BSEE-0235,iogp_rules,Safe mechanical lifting; Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_607:613
EVT-BSEE-0238,iogp_rules,Safe mechanical lifting; Work authorization,Hot work,Two-pass semantic re-evaluation with exact character offset validation,char_182:313
EVT-BSEE-0244,iogp_rules,NONE,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_2196:2202
EVT-BSEE-0248,iogp_rules,Hot work; Work authorization; Working at height,Hot work,Two-pass semantic re-evaluation with exact character offset validation,char_1727:1734
EVT-BSEE-0249,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_796:804
EVT-BSEE-0253,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_183:188
EVT-BSEE-0254,iogp_rules,Bypassing safety controls,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_896:904
EVT-BSEE-0255,iogp_rules,Safe mechanical lifting; Work authorization,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_291:429
EVT-BSEE-0256,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1136:1142
EVT-BSEE-0264,iogp_rules,Safe mechanical lifting; Work authorization; Working at height,Confined space; Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_108:268
EVT-BSEE-0267,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_408:537
EVT-BSEE-0268,iogp_rules,Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_274:402
EVT-BSEE-0269,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_408:537
EVT-BSEE-0270,iogp_rules,Hot work; Safe mechanical lifting; Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_895:904
EVT-BSEE-0271,iogp_rules,Safe mechanical lifting; Work authorization; Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_322:328
EVT-BSEE-0273,iogp_rules,Safe mechanical lifting; Safe mechanical lifting; Work authorization; Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_301:306
EVT-BSEE-0278,iogp_rules,Hot work; Work authorization; Working at height,Hot work,Two-pass semantic re-evaluation with exact character offset validation,char_1664:1671
EVT-BSEE-0279,iogp_rules,Driving,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_291:296
EVT-BSEE-0287,iogp_rules,Energy isolation,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1730:1739
EVT-BSEE-0294,iogp_rules,Hot work; Safe mechanical lifting; Work authorization,Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_261:268
EVT-BSEE-0300,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1586:1593
EVT-BSEE-0312,iogp_rules,Line of fire; Safe mechanical lifting; Work authorization,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_1175:1181
EVT-BSEE-0317,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_421:427
EVT-BSEE-0319,iogp_rules,Bypassing safety controls,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_563:772
EVT-BSEE-0320,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_611:616
EVT-BSEE-0323,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_176:181
EVT-BSEE-0324,iogp_rules,Safe mechanical lifting; Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1128:1262
EVT-BSEE-0325,iogp_rules,Safe mechanical lifting; Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1638:1883
EVT-BSEE-0329,iogp_rules,Safe mechanical lifting; Working at height,Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_266:409
EVT-BSEE-0330,iogp_rules,Hot work; Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_517:524
EVT-BSEE-0331,iogp_rules,Energy isolation; Hot work,Energy isolation; Hot work; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_2065:2315
EVT-BSEE-0333,iogp_rules,Driving,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1825:1832
EVT-BSEE-0334,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,NONE
EVT-BSEE-0336,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1152:1160
EVT-BSEE-0338,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_109:319
EVT-BSEE-0343,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_166:300
EVT-BSEE-0344,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:59
EVT-BSEE-0345,iogp_rules,Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,NONE
EVT-BSEE-0350,iogp_rules,Hot work; Safe mechanical lifting; Working at height,Hot work; Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_1267:1275
EVT-BSEE-0355,iogp_rules,Safe mechanical lifting; Working at height,Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_820:946
EVT-BSEE-0363,iogp_rules,Bypassing safety controls; Hot work; Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1366:1374
EVT-BSEE-0364,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_417:425
EVT-BSEE-0369,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_269:465
EVT-BSEE-0381,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:71
EVT-BSEE-0390,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:47
EVT-BSEE-0393,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:44
EVT-BSEE-0394,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:34
EVT-BSEE-0395,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:56
EVT-BSEE-0414,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:35
EVT-BSEE-0415,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:33
EVT-BSEE-0422,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:31
EVT-BSEE-0423,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:32
EVT-BSEE-0424,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:42
EVT-BSEE-0434,iogp_rules,Line of fire,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:59
EVT-BSEE-0441,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:53
EVT-BSEE-0455,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:42
EVT-BSEE-0464,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:42
EVT-BSEE-0467,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:30
EVT-BSEE-0479,iogp_rules,Line of fire,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:56
EVT-BSEE-0514,narrative.cleaned_source_text,Sparse text (48 chars),Remediated full text (299 chars),BSEE PDF regulatory text extraction remediation,dataset/extracted/bsee/
EVT-BSEE-0516,narrative.cleaned_source_text,Sparse text (33 chars),Remediated full text (1032 chars),BSEE PDF regulatory text extraction remediation,dataset/extracted/bsee/
EVT-BSEE-0523,iogp_rules,NONE,Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_0:57
EVT-BSEE-0526,narrative.cleaned_source_text,Sparse text (39 chars),Remediated full text (291 chars),BSEE PDF regulatory text extraction remediation,dataset/extracted/bsee/
EVT-BSEE-0535,narrative.cleaned_source_text,Sparse text (45 chars),Remediated full text (334 chars),BSEE PDF regulatory text extraction remediation,dataset/extracted/bsee/
EVT-BSEE-0536,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:42
EVT-BSEE-0538,narrative.cleaned_source_text,Sparse text (45 chars),Remediated full text (366 chars),BSEE PDF regulatory text extraction remediation,dataset/extracted/bsee/
EVT-BSEE-0543,narrative.cleaned_source_text,Sparse text (30 chars),Remediated full text (302 chars),BSEE PDF regulatory text extraction remediation,dataset/extracted/bsee/
EVT-BSEE-0551,narrative.cleaned_source_text,Sparse text (42 chars),Remediated full text (359 chars),BSEE PDF regulatory text extraction remediation,dataset/extracted/bsee/
EVT-BSEE-0554,narrative.cleaned_source_text,Sparse text (33 chars),Remediated full text (350 chars),BSEE PDF regulatory text extraction remediation,dataset/extracted/bsee/
EVT-BSEE-0557,narrative.cleaned_source_text,Sparse text (32 chars),Remediated full text (349 chars),BSEE PDF regulatory text extraction remediation,dataset/extracted/bsee/
EVT-BSEE-0557,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:60
EVT-BSEE-0562,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:45
EVT-BSEE-0563,narrative.cleaned_source_text,Sparse text (36 chars),Remediated full text (339 chars),BSEE PDF regulatory text extraction remediation,dataset/extracted/bsee/
EVT-BSEE-0563,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,NONE
EVT-BSEE-0565,narrative.cleaned_source_text,Sparse text (47 chars),Remediated full text (385 chars),BSEE PDF regulatory text extraction remediation,dataset/extracted/bsee/
EVT-BSEE-0567,narrative.cleaned_source_text,Sparse text (25 chars),Remediated full text (653 chars),BSEE PDF regulatory text extraction remediation,dataset/extracted/bsee/
EVT-BSEE-0568,narrative.cleaned_source_text,Sparse text (35 chars),Remediated full text (311 chars),BSEE PDF regulatory text extraction remediation,dataset/extracted/bsee/
EVT-BSEE-0568,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,NONE
EVT-BSEE-0575,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:48
EVT-BSEE-0581,narrative.cleaned_source_text,Sparse text (42 chars),Remediated full text (678 chars),BSEE PDF regulatory text extraction remediation,dataset/extracted/bsee/
EVT-IMCA-0001,iogp_rules,Energy isolation; Line of fire; Safe mechanical lifting; Work authorization,Line of fire; Safe mechanical lifting; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_362:370
EVT-IMCA-0010,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:102
EVT-IMCA-0011,iogp_rules,Line of fire; Safe mechanical lifting,Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_3144:3151
EVT-IMCA-0013,iogp_rules,Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,NONE
EVT-IMCA-0015,iogp_rules,Line of fire; Safe mechanical lifting,Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_0:140
EVT-IMCA-0016,iogp_rules,Safe mechanical lifting; Work authorization,Bypassing safety controls,Two-pass semantic re-evaluation with exact character offset validation,char_1753:1938
EVT-IMCA-0017,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_56:63
