event_id,event_type,source_organization,source_tier,document_id,document_title,document_sha256,url,event_date,industry,activity,energy_type,energy_source,sif_potential,label_type,sif_evidence,barriers_count,iogp_rules_count,actual_consequence,potential_consequence,dataset_tier,overall_quality,duplicate_status
"EVT-BSEE-0011","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0011","Crane Incident During Well Abandonment Operations Injures Worker, Reveals Safety Gaps","b2d2e445c0f1244a0edc550b1b60406d225c0b4658c98e468e6632e114af9b67","https://www.bsee.gov/safety-alerts/crane-incident-during-well-abandonment-operations-injures-worker-reveals-safety-gaps","","Offshore Oil and Gas","Lifting & Rigging Operations","GRAVITATIONAL","crane","TRUE","DERIVED","Derived SIF: Uncontrolled gravitational energy with compromised barrier and line-of-fire exposure","1","1","Lost time / serious personal injury sustained.","Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0012","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0012","Miscommunication and Trapped Pressure Causes Injury","0f4223a6764b8f436d1a4a5a0c0dd202a598fca026725d1457bde57fbfcc6a89","https://www.bsee.gov/safety-alerts/miscommunication-and-trapped-pressure-causes-injury","","Offshore Oil and Gas","Subsea & Diving Operations","GRAVITATIONAL","scaffold","TRUE","DERIVED","Derived SIF: Uncontrolled gravitational energy with compromised barrier and line-of-fire exposure","1","3","Minor injury requiring first aid or medical attention.","Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0013","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0013","Review anchor-handling plans now Incident damages subsea equipment triggers gas release","789c72f53fc1609bfaa806cf857170847b4245a7d70f9e6096a4be8d98ea4340","https://www.bsee.gov/safety-alerts/review-anchor-handling-plans-now-incident-damages-subsea-equipment-triggers-gas","","Offshore Oil and Gas","Drilling & Well Intervention","PRESSURE","annulus","TRUE","DERIVED","Derived SIF: Uncontrolled pressure energy with compromised barrier and line-of-fire exposure","1","1","Minor injury requiring first aid or medical attention.","Fatal injection, impact, or explosion from uncontrolled high-pressure fluid release.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0014","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0014","Improper Use of Equipment and Tools Increases Risk of Fires and Explosions Offshore","cf8c9323cb2af624f97d6c1b0b27a624c25b0d59a030cafd7543a013026c1049","https://www.bsee.gov/safety-alerts/improper-use-of-equipment-and-tools-increases-risk-of-fires-and-explosions-offshore","","Offshore Oil and Gas","Drilling & Well Intervention","PRESSURE","hydraulic","TRUE","EXPLICIT","pment Used in Hazardous  (Classified) Locations During Coiled Tubing Oper","1","3","None reported / Equipment stoppage or minor disruption.","Fatal injection, impact, or explosion from uncontrolled high-pressure fluid release.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0015","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0015","Arc Flash Incident Highlights Critical Need for Voltage Verification During Offshore Electrical Maintenance","84040196b540cbfd316d1655911f710bdbca15e334f2a020ef0baec8c0f49893","https://www.bsee.gov/safety-alerts/arc-flash-incident-highlights-critical-need-for-voltage-verification-during-offshore","","Offshore Oil and Gas","Subsea & Diving Operations","PRESSURE","bar","TRUE","DERIVED","Derived SIF: Uncontrolled pressure energy with compromised barrier and line-of-fire exposure","1","0","None reported / Equipment stoppage or minor disruption.","Fatal injection, impact, or explosion from uncontrolled high-pressure fluid release.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0016","NEAR_MISS","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0016","BSEE Risk-Based Inspections Reveal Increase in Slip-Trip-Fall Hazards on Offshore Facilities","51b03b58b62a18717279dcd5cf1c6be44a7615d4ebe7f70759c002b0908c8e48","https://www.bsee.gov/safety-alerts/bsee-risk-based-inspections-reveal-increase-in-slip-trip-fall-hazards-on-offshore","","Offshore Oil and Gas","Lifting & Rigging Operations","GRAVITATIONAL","lifting","FALSE","DERIVED","Controlled gravitational energy event without acute SIF potential","1","3","Lost time / serious personal injury sustained.","Local hazard exposure with manageable outcome.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0017","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0017","Malfunction of Rental Generator’s Engine Air Shutoff System Led to Fire","be1731ae9baa13ed9c84b5d90668a3919d6c7f7402a5ecb106a74570895d6819","https://www.bsee.gov/safety-alerts/malfunction-of-rental-generators-engine-air-shutoff-system-led-to-fire","","Offshore Oil and Gas","Piping & Pressure Maintenance","THERMAL","fire","TRUE","DERIVED","Derived SIF: Uncontrolled thermal energy with compromised barrier and line-of-fire exposure","1","1","None reported / Equipment stoppage or minor disruption.","Major hydrocarbon fire or explosion resulting in multiple fatalities and facility loss.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0018","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0018","Fatigue Cracking of ¾-Inch Pipe Nipple Results in Gas Release","086f61e74bfbbb0f6a3bc043ae394971b6f39657d836ef75e48924cb7f8e097a","https://www.bsee.gov/safety-alerts/fatigue-cracking-of-34-inch-pipe-nipple-results-in-gas-release","","Offshore Oil and Gas","Piping & Pressure Maintenance","THERMAL","fire","TRUE","DERIVED","Derived SIF: Uncontrolled thermal energy with compromised barrier and line-of-fire exposure","1","0","No injuries occurred (Near Miss / Potential Consequence only).","Major hydrocarbon fire or explosion resulting in multiple fatalities and facility loss.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0019","UA","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0019","BSEE Identifies Bypassed Safety Device Deficiencies during Risk-Based Inspections","051031222ad5a45547e7b123c3bd855b9792d467708687d2198f066a98e3d1ca","https://www.bsee.gov/safety-alerts/bsee-identifies-bypassed-safety-device-deficiencies-during-risk-based-inspections","","Offshore Oil and Gas","Drilling & Well Intervention","GRAVITATIONAL","ladder","UNKNOWN","UNKNOWN","","1","2","None reported / Equipment stoppage or minor disruption.","Local hazard exposure with manageable outcome.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0020","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0020","Dropped Steel Plate Due to Defective Lifting Device and Inadequate Hazard Analysis","ba376089cf49afaddad8620149315c0374506e6aa647922bc63be4847e1453ac","https://www.bsee.gov/safety-alerts/dropped-steel-plate-due-to-defective-lifting-device-and-inadequate-hazard-analysis","","Offshore Oil and Gas","Lifting & Rigging Operations","GRAVITATIONAL","lifting","TRUE","DERIVED","Derived SIF: Uncontrolled gravitational energy with compromised barrier and line-of-fire exposure","1","2","None reported / Equipment stoppage or minor disruption.","Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0021","NEAR_MISS","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0021","Failed Umbilical Termination Results in Dropped Remotely Operated Vehicle (ROV)","943fd2a280694411cb9234ec54915b0bc6d9288bb2eee9d9ecee97db26bbdc77","https://www.bsee.gov/safety-alerts/failed-umbilical-termination-results-in-dropped-remotely-operated-vehicle-rov","","Offshore Oil and Gas","Drilling & Well Intervention","GRAVITATIONAL","dropped object","TRUE","DERIVED","Derived SIF: Uncontrolled gravitational energy with compromised barrier and line-of-fire exposure","1","1","None reported / Equipment stoppage or minor disruption.","Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0022","NEAR_MISS","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0022","Explosion and Fire on Liftboat Injure Workers – BSEE Calls for Enhanced Safety Measures and Emergency Preparedness","10ecccbf4edb95ee2d19ea9c4a7177bfd463ebec911f03c2f51b8295e82fdda4","https://www.bsee.gov/safety-alerts/explosion-and-fire-on-liftboat-injure-workers-bsee-calls-for-enhanced-safety-measures","","Offshore Oil and Gas","Lifting & Rigging Operations","PRESSURE","bar","TRUE","DERIVED","Derived SIF: Uncontrolled pressure energy with compromised barrier and line-of-fire exposure","1","1","No injuries occurred (Near Miss / Potential Consequence only).","Fatal injection, impact, or explosion from uncontrolled high-pressure fluid release.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0023","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0023","Weather Creates Sudden and Unpredictable Risks","25c776f528f4ddf774414ba89071dc7309d38f64b5df8188cdef2df046487050","https://www.bsee.gov/safety-alerts/weather-creates-sudden-and-unpredictable-risks","","Offshore Oil and Gas","Lifting & Rigging Operations","GRAVITATIONAL","crane","FALSE","DERIVED","Controlled gravitational energy event without acute SIF potential","2","1","Lost time / serious personal injury sustained.","Local hazard exposure with manageable outcome.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0024","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0024","Misidentification of Corrosion Hazard Results in High Potential Event","7d1b99d4462a026c572e514331178830f7afa66d0443cf2dd36447d256b709de","https://www.bsee.gov/safety-alerts/misidentification-of-corrosion-hazard-results-in-high-potential-event","","Offshore Oil and Gas","Lifting & Rigging Operations","GRAVITATIONAL","lifting","TRUE","EXPLICIT","f Corrosion Hazard Results in High Potential Event     SAFETY ALERT  Contact: bseepu","2","2","Fatal injury occurred.","Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0025","NEAR_MISS","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0025","Turbine Generator Exhaust Silencer Failure_1_27_25","0dc588bef4f4f2af4a273175f1e35a9f1b9f1e3694fa24afd6dc0b8070d460b1","https://www.bsee.gov/safety-alerts/turbine-generator-exhaust-silencer-failure-1-27-25","","Offshore Oil and Gas","Piping & Pressure Maintenance","GRAVITATIONAL","dropped object","TRUE","DERIVED","Derived SIF: Uncontrolled gravitational energy with compromised barrier and line-of-fire exposure","1","0","Fatal injury occurred.","Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0026","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0026","Ruptured Nitrogen Cylinders","2113109293c03b1d2aeaee42259fbd3e8e20b6cf95c2f7014ce20e64b261b1ce","https://www.bsee.gov/safety-alerts/ruptured-nitrogen-cylinders","","Offshore Oil and Gas","Drilling & Well Intervention","PRESSURE","accumulator","FALSE","DERIVED","Controlled pressure energy event without acute SIF potential","1","0","None reported / Equipment stoppage or minor disruption.","Local hazard exposure with manageable outcome.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0027","NEAR_MISS","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0027","BSEE Alerts Offshore Workers to Series of Incidents Involving Self-Retracting Lanyards for Fall Protection","06643f877ee2d0fc08c773b439d4f62b07b71067e0fe0efa11bb05c188548049","https://www.bsee.gov/safety-alerts/bsee-alerts-offshore-workers-to-series-of-incidents-involving-self-retracting","","Offshore Oil and Gas","Subsea & Diving Operations","GRAVITATIONAL","fall arrest","TRUE","DERIVED","Derived SIF: Uncontrolled gravitational energy with compromised barrier and line-of-fire exposure","2","2","Minor injury requiring first aid or medical attention.","Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0028","NEAR_MISS","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0028","Vigilance Required in Offshore Helideck Operations","c3eff87054897876bdc25f2162c8055f06c5f5f8f5d4df17fc2e6cf69e83fe14","https://www.bsee.gov/safety-alerts/vigilance-required-in-offshore-helideck-operations","","Offshore Oil and Gas","Lifting & Rigging Operations","GRAVITATIONAL","crane","FALSE","DERIVED","Controlled gravitational energy event without acute SIF potential","1","1","Minor injury requiring first aid or medical attention.","Local hazard exposure with manageable outcome.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0029","NEAR_MISS","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0029","Helideck Condition Notifications and Verification","36168e5446a0ff6e2f59969c86b3d5d0803e34bdbce6e1c18fba4920cc9b2f4e","https://www.bsee.gov/safety-alerts/helideck-condition-notifications-and-verification","","Offshore Oil and Gas","General Industrial / Offshore Operations","UNKNOWN","","UNKNOWN","UNKNOWN","","1","0","No injuries occurred (Near Miss / Potential Consequence only).","Local hazard exposure with manageable outcome.","BRONZE","MEDIUM","UNIQUE"
"EVT-BSEE-0030","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0030","BSEE Reminds Offshore Workers: Conduct Pre-Job Assessment for Potential Hazards; Stay Vigilant of Surroundings","229e14c252f36ab7e52a548c9c8c443c03bf639be86c71a56719edb006e0e8a7","https://www.bsee.gov/safety-alerts/bsee-reminds-offshore-workers-conduct-pre-job-assessment-for-potential-hazards-stay","","Offshore Oil and Gas","Lifting & Rigging Operations","GRAVITATIONAL","ladder","TRUE","DERIVED","Derived SIF: Uncontrolled gravitational energy with compromised barrier and line-of-fire exposure","3","2","None reported / Equipment stoppage or minor disruption.","Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0031","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0031","Flash Fires During Welding Operations","b90c8000e42253ae71461da81a4f5b1ed24d6b24d7ec18d3eee3c2a526936efd","https://www.bsee.gov/safety-alerts/flash-fires-during-welding-operations","","Offshore Oil and Gas","Subsea & Diving Operations","PRESSURE","psi","FALSE","DERIVED","Controlled pressure energy event without acute SIF potential","1","3","Fatal injury occurred.","Local hazard exposure with manageable outcome.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0032","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0032","Recurring Hand Injuries While Using Alternative Cutting Devices","2ba4c07e3ac1c39572c5e941a5a9ac0ed01ac56293ea4a6af09bb606c0c28502","https://www.bsee.gov/safety-alerts/recurring-hand-injuries-while-using-alternative-cutting-devices","","Offshore Oil and Gas","Subsea & Diving Operations","UNKNOWN","","UNKNOWN","UNKNOWN","","1","1","Minor injury requiring first aid or medical attention.","Local hazard exposure with manageable outcome.","BRONZE","MEDIUM","UNIQUE"
"EVT-BSEE-0033","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0033","Heat Advisory","52cc04dd39c4dd5cdf6e5372b90cfed7701993a2d1efe98421d408baf5303807","https://www.bsee.gov/safety-alerts/heat-advisory","","Offshore Oil and Gas","Subsea & Diving Operations","UNKNOWN","","UNKNOWN","UNKNOWN","","2","1","Fatal injury occurred.","Local hazard exposure with manageable outcome.","BRONZE","MEDIUM","UNIQUE"
"EVT-BSEE-0034","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0034","Hand Tools Pose Risk to Offshore Personnel","775110bf9377b9b37ba8c3641503e4ff1db08b42bf232e421e978041e6f774ff","https://www.bsee.gov/safety-alerts/hand-tools-pose-risk-to-offshore-personnel","","Offshore Oil and Gas","Drilling & Well Intervention","UNKNOWN","","UNKNOWN","UNKNOWN","","1","2","Lost time / serious personal injury sustained.","Local hazard exposure with manageable outcome.","BRONZE","MEDIUM","UNIQUE"
"EVT-BSEE-0035","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0035","Improperly Depressurizing Piping to Remove a Hydrate Causes Injury","ee5beaf26c48eea29e7bea6446e07436067647f220179d21590d4316b65f4004","https://www.bsee.gov/safety-alerts/improperly-depressurizing-piping-to-remove-a-hydrate-causes-injury","","Offshore Oil and Gas","Lifting & Rigging Operations","PRESSURE","high pressure","TRUE","DERIVED","Derived SIF: Uncontrolled pressure energy with compromised barrier and line-of-fire exposure","1","2","None reported / Equipment stoppage or minor disruption.","Fatal injection, impact, or explosion from uncontrolled high-pressure fluid release.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0036","NEAR_MISS","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0036","Scam Alert-Suspicious Requests for Payment","f621958e243d6a2fe70856843cc9f5ee20cc35fed29fa15e8449b1e2c3ebffc4","https://www.bsee.gov/safety-alerts/scam-alert-suspicious-requests-for-payment","","Offshore Oil and Gas","Subsea & Diving Operations","UNKNOWN","","UNKNOWN","UNKNOWN","","1","0","None reported / Equipment stoppage or minor disruption.","Local hazard exposure with manageable outcome.","BRONZE","MEDIUM","UNIQUE"
"EVT-BSEE-0037","INCIDENT","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0037","BSEE Risk Based Inspection Identifies Welding and Burning Hazards","8c5fe021c83a0e8bbc2c55765b1d20a22d17955f962edd7deea5cd3ce4f51a6f","https://www.bsee.gov/safety-alerts/bsee-risk-based-inspection-identifies-welding-and-burning-hazards","","Offshore Oil and Gas","Lifting & Rigging Operations","GRAVITATIONAL","lifting","TRUE","EXPLICIT","ince  2022 uncovered multiple high potential fires associated with welding and burni","1","3","Minor injury requiring first aid or medical attention.","Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0038","NEAR_MISS","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0038","Hazardous Helideck Conditions Results in Near Miss Incident","c762878d14f305fc45ca22e850bf840bc54e859e75d1cfaa90c859f322853924","https://www.bsee.gov/safety-alerts/hazardous-helideck-conditions-results-in-near-miss-incident","","Offshore Oil and Gas","Drilling & Well Intervention","UNKNOWN","","UNKNOWN","UNKNOWN","","1","0","Minor injury requiring first aid or medical attention.","Local hazard exposure with manageable outcome.","BRONZE","MEDIUM","UNIQUE"
"EVT-BSEE-0039","NEAR_MISS","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0039","BSEE Safety Alert 480 - Fingerboard Locking Bolt Failure Leads to Near Miss Incident","32ba3b09bed1ca0232ffb01bbd188bcd2a06c9fbed4d34282f9cd8f88cb24588","https://www.bsee.gov/safety-alerts/bsee-safety-alert-480-fingerboard-locking-bolt-failure-leads-to-near-miss-incident","","Offshore Oil and Gas","Lifting & Rigging Operations","GRAVITATIONAL","lifting","TRUE","EXPLICIT","SEE) recently investigated a  high potential near miss incident that took place on a","2","1","Fatal injury occurred.","Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.","GOLD","HIGH","UNIQUE"
"EVT-BSEE-0040","NEAR_MISS","Bureau of Safety and Environmental Enforcement (BSEE)","TIER_A_AUTHORITATIVE","SRC-BSEE-0040","BSEE Safety Alert 479 - Lack of Adherence to Helideck Safety Procedures Results in Series of Near Miss Incidents","f4df52baca27dc27287aa77f46560ad17a0f0ed50ad585a4e770a7c899454ce7","https://www.bsee.gov/safety-alerts/bsee-safety-alert-479-lack-of-adherence-to-helideck-safety-procedures-results-in","","Offshore Oil and Gas","Lifting & Rigging Operations","GRAVITATIONAL","crane","FALSE","DERIVED","Controlled gravitational energy event without acute SIF potential","2","1","Minor injury requiring first aid or medical attention.","Local hazard exposure with manageable outcome.","GOLD","HIGH","UNIQUE"
