event_id,event_type,source_org,source_id,document_title,url,country,region,facility,activity,energy_type,energy_status,exposure_present,exposure_type,barrier_count,actual_consequence,potential_consequence,sif_potential,sif_label_type,dataset_tier,provenance_status,duplicate_status,duplicate_group_id
EVT-BSEE-0011,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0011,"Crane Incident During Well Abandonment Operations Injures Worker, Reveals Safety Gaps",https://www.bsee.gov/safety-alerts/crane-incident-during-well-abandonment-operations-injures-worker-reveals-safety-gaps,United States,US Gulf of Mexico / OCS,UNKNOWN,Lifting & Rigging Operations,UNKNOWN,UNKNOWN,True,DIRECT_PHYSICAL_CONTACT,0,Lost time / serious personal injury sustained.,Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.,UNKNOWN,UNKNOWN,BRONZE,HYBRID_VERIFIED,UNIQUE,GRP-00011
EVT-BSEE-0012,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0012,Miscommunication and Trapped Pressure Causes Injury,https://www.bsee.gov/safety-alerts/miscommunication-and-trapped-pressure-causes-injury,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,Subsea & Diving Operations,GRAVITATIONAL,DERIVED,True,DIRECT_PHYSICAL_CONTACT,2,Minor injury requiring first aid or medical attention.,Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.,TRUE,DERIVED,SILVER,HYBRID_VERIFIED,UNIQUE,GRP-00012
EVT-BSEE-0013,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0013,Review anchor-handling plans now Incident damages subsea equipment triggers gas release,https://www.bsee.gov/safety-alerts/review-anchor-handling-plans-now-incident-damages-subsea-equipment-triggers-gas,United States,US Gulf of Mexico / OCS,Jack-up Rig,Drilling & Well Intervention,KINETIC,DERIVED,False,,0,Minor injury requiring first aid or medical attention.,"Fatal injection, impact, or explosion from uncontrolled high-pressure fluid release.",UNKNOWN,UNKNOWN,BRONZE,HYBRID_VERIFIED,UNIQUE,GRP-00013
EVT-BSEE-0014,UC,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0014,Improper Use of Equipment and Tools Increases Risk of Fires and Explosions Offshore,https://www.bsee.gov/safety-alerts/improper-use-of-equipment-and-tools-increases-risk-of-fires-and-explosions-offshore,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,Drilling & Well Intervention,PRESSURE,DERIVED,False,,1,None reported / Equipment stoppage or minor disruption.,"Fatal injection, impact, or explosion from uncontrolled high-pressure fluid release.",UNKNOWN,UNKNOWN,BRONZE,HYBRID_VERIFIED,UNIQUE,GRP-00014
EVT-BSEE-0015,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0015,Arc Flash Incident Highlights Critical Need for Voltage Verification During Offshore Electrical Maintenance,https://www.bsee.gov/safety-alerts/arc-flash-incident-highlights-critical-need-for-voltage-verification-during-offshore,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,Subsea & Diving Operations,THERMAL,DERIVED,True,DIRECT_PHYSICAL_CONTACT,0,None reported / Equipment stoppage or minor disruption.,"Fatal injection, impact, or explosion from uncontrolled high-pressure fluid release.",TRUE,DERIVED,SILVER,HYBRID_VERIFIED,UNIQUE,GRP-00015
EVT-BSEE-0016,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0016,BSEE Risk-Based Inspections Reveal Increase in Slip-Trip-Fall Hazards on Offshore Facilities,https://www.bsee.gov/safety-alerts/bsee-risk-based-inspections-reveal-increase-in-slip-trip-fall-hazards-on-offshore,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,Lifting & Rigging Operations,GRAVITATIONAL,DERIVED,True,DIRECT_PHYSICAL_CONTACT,1,Lost time / serious personal injury sustained.,Local hazard exposure with manageable outcome.,TRUE,DERIVED,SILVER,HYBRID_VERIFIED,UNIQUE,GRP-00016
EVT-BSEE-0017,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0017,Malfunction of Rental Generator’s Engine Air Shutoff System Led to Fire,https://www.bsee.gov/safety-alerts/malfunction-of-rental-generators-engine-air-shutoff-system-led-to-fire,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,Piping & Pressure Maintenance,THERMAL,DERIVED,True,DIRECT_PHYSICAL_CONTACT,0,None reported / Equipment stoppage or minor disruption.,Major hydrocarbon fire or explosion resulting in multiple fatalities and facility loss.,TRUE,DERIVED,SILVER,HYBRID_VERIFIED,UNIQUE,GRP-00017
EVT-BSEE-0018,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0018,Fatigue Cracking of ¾-Inch Pipe Nipple Results in Gas Release,https://www.bsee.gov/safety-alerts/fatigue-cracking-of-34-inch-pipe-nipple-results-in-gas-release,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,Piping & Pressure Maintenance,THERMAL,DERIVED,False,,0,No injuries occurred (Near Miss / Potential Consequence only).,Major hydrocarbon fire or explosion resulting in multiple fatalities and facility loss.,UNKNOWN,UNKNOWN,BRONZE,HYBRID_VERIFIED,UNIQUE,GRP-00018
EVT-BSEE-0019,UA,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0019,BSEE Identifies Bypassed Safety Device Deficiencies during Risk-Based Inspections,https://www.bsee.gov/safety-alerts/bsee-identifies-bypassed-safety-device-deficiencies-during-risk-based-inspections,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,Drilling & Well Intervention,PRESSURE,DERIVED,False,,0,None reported / Equipment stoppage or minor disruption.,Local hazard exposure with manageable outcome.,UNKNOWN,UNKNOWN,BRONZE,HYBRID_VERIFIED,UNIQUE,GRP-00019
EVT-BSEE-0020,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0020,Dropped Steel Plate Due to Defective Lifting Device and Inadequate Hazard Analysis,https://www.bsee.gov/safety-alerts/dropped-steel-plate-due-to-defective-lifting-device-and-inadequate-hazard-analysis,United States,US Gulf of Mexico / OCS,UNKNOWN,Lifting & Rigging Operations,GRAVITATIONAL,DERIVED,True,DIRECT_PHYSICAL_CONTACT,1,None reported / Equipment stoppage or minor disruption.,Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.,TRUE,DERIVED,SILVER,HYBRID_VERIFIED,UNIQUE,GRP-00020
EVT-BSEE-0021,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0021,Failed Umbilical Termination Results in Dropped Remotely Operated Vehicle (ROV),https://www.bsee.gov/safety-alerts/failed-umbilical-termination-results-in-dropped-remotely-operated-vehicle-rov,United States,US Gulf of Mexico / OCS,UNKNOWN,Drilling & Well Intervention,GRAVITATIONAL,DERIVED,False,,0,None reported / Equipment stoppage or minor disruption.,Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.,UNKNOWN,UNKNOWN,BRONZE,HYBRID_VERIFIED,UNIQUE,GRP-00021
EVT-BSEE-0022,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0022,Explosion and Fire on Liftboat Injure Workers – BSEE Calls for Enhanced Safety Measures and Emergency Preparedness,https://www.bsee.gov/safety-alerts/explosion-and-fire-on-liftboat-injure-workers-bsee-calls-for-enhanced-safety-measures,United States,US Gulf of Mexico / OCS,Mobile Offshore Drilling Unit (MODU),Lifting & Rigging Operations,THERMAL,DERIVED,True,DIRECT_PHYSICAL_CONTACT,1,No injuries occurred (Near Miss / Potential Consequence only).,"Fatal injection, impact, or explosion from uncontrolled high-pressure fluid release.",TRUE,DERIVED,SILVER,HYBRID_VERIFIED,UNIQUE,GRP-00022
EVT-BSEE-0023,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0023,Weather Creates Sudden and Unpredictable Risks,https://www.bsee.gov/safety-alerts/weather-creates-sudden-and-unpredictable-risks,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,Lifting & Rigging Operations,PRESSURE,DERIVED,True,LINE_OF_FIRE,1,Lost time / serious personal injury sustained.,Local hazard exposure with manageable outcome.,TRUE,DERIVED,SILVER,HYBRID_VERIFIED,UNIQUE,GRP-00023
EVT-BSEE-0024,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0024,Misidentification of Corrosion Hazard Results in High Potential Event,https://www.bsee.gov/safety-alerts/misidentification-of-corrosion-hazard-results-in-high-potential-event,United States,US Gulf of Mexico / OCS,UNKNOWN,Lifting & Rigging Operations,GRAVITATIONAL,DERIVED,True,DIRECT_PHYSICAL_CONTACT,1,Fatal injury occurred.,Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.,TRUE,EXPLICIT,GOLD,HYBRID_VERIFIED,UNIQUE,GRP-00024
EVT-BSEE-0025,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0025,Turbine Generator Exhaust Silencer Failure_1_27_25,https://www.bsee.gov/safety-alerts/turbine-generator-exhaust-silencer-failure-1-27-25,United States,US Gulf of Mexico / OCS,UNKNOWN,Piping & Pressure Maintenance,GRAVITATIONAL,DERIVED,True,DIRECT_PHYSICAL_CONTACT,0,Fatal injury occurred.,Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.,TRUE,DERIVED,SILVER,HYBRID_VERIFIED,UNIQUE,GRP-00025
EVT-BSEE-0026,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0026,Ruptured Nitrogen Cylinders,https://www.bsee.gov/safety-alerts/ruptured-nitrogen-cylinders,United States,US Gulf of Mexico / OCS,UNKNOWN,Drilling & Well Intervention,PRESSURE,DERIVED,False,,0,None reported / Equipment stoppage or minor disruption.,Local hazard exposure with manageable outcome.,UNKNOWN,UNKNOWN,BRONZE,HYBRID_VERIFIED,UNIQUE,GRP-00026
EVT-BSEE-0027,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0027,BSEE Alerts Offshore Workers to Series of Incidents Involving Self-Retracting Lanyards for Fall Protection,https://www.bsee.gov/safety-alerts/bsee-alerts-offshore-workers-to-series-of-incidents-involving-self-retracting,United States,US Gulf of Mexico / OCS,UNKNOWN,Subsea & Diving Operations,GRAVITATIONAL,DERIVED,True,DIRECT_PHYSICAL_CONTACT,2,Minor injury requiring first aid or medical attention.,Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.,TRUE,DERIVED,SILVER,HYBRID_VERIFIED,UNIQUE,GRP-00027
EVT-BSEE-0028,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0028,Vigilance Required in Offshore Helideck Operations,https://www.bsee.gov/safety-alerts/vigilance-required-in-offshore-helideck-operations,United States,US Gulf of Mexico / OCS,UNKNOWN,Lifting & Rigging Operations,UNKNOWN,UNKNOWN,False,,0,Minor injury requiring first aid or medical attention.,Local hazard exposure with manageable outcome.,UNKNOWN,UNKNOWN,BRONZE,HYBRID_VERIFIED,UNIQUE,GRP-00028
EVT-BSEE-0029,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0029,Helideck Condition Notifications and Verification,https://www.bsee.gov/safety-alerts/helideck-condition-notifications-and-verification,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,General Industrial / Offshore Operations,UNKNOWN,UNKNOWN,False,,0,No injuries occurred (Near Miss / Potential Consequence only).,Local hazard exposure with manageable outcome.,UNKNOWN,UNKNOWN,BRONZE,HYBRID_VERIFIED,UNIQUE,GRP-00029
EVT-BSEE-0030,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0030,BSEE Reminds Offshore Workers: Conduct Pre-Job Assessment for Potential Hazards; Stay Vigilant of Surroundings,https://www.bsee.gov/safety-alerts/bsee-reminds-offshore-workers-conduct-pre-job-assessment-for-potential-hazards-stay,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,Lifting & Rigging Operations,PRESSURE,DERIVED,False,,3,None reported / Equipment stoppage or minor disruption.,Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.,UNKNOWN,UNKNOWN,BRONZE,HYBRID_VERIFIED,UNIQUE,GRP-00030
EVT-BSEE-0031,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0031,Flash Fires During Welding Operations,https://www.bsee.gov/safety-alerts/flash-fires-during-welding-operations,United States,US Gulf of Mexico / OCS,UNKNOWN,Subsea & Diving Operations,PRESSURE,DERIVED,True,DIRECT_PHYSICAL_CONTACT,0,Fatal injury occurred.,Local hazard exposure with manageable outcome.,TRUE,DERIVED,SILVER,HYBRID_VERIFIED,UNIQUE,GRP-00031
EVT-BSEE-0032,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0032,Recurring Hand Injuries While Using Alternative Cutting Devices,https://www.bsee.gov/safety-alerts/recurring-hand-injuries-while-using-alternative-cutting-devices,United States,US Gulf of Mexico / OCS,UNKNOWN,Subsea & Diving Operations,UNKNOWN,UNKNOWN,True,DIRECT_PHYSICAL_CONTACT,1,Minor injury requiring first aid or medical attention.,Local hazard exposure with manageable outcome.,UNKNOWN,UNKNOWN,BRONZE,HYBRID_VERIFIED,UNIQUE,GRP-00032
EVT-BSEE-0033,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0033,Heat Advisory,https://www.bsee.gov/safety-alerts/heat-advisory,United States,US Gulf of Mexico / OCS,UNKNOWN,Subsea & Diving Operations,PRESSURE,DERIVED,True,DIRECT_PHYSICAL_CONTACT,1,Fatal injury occurred.,Local hazard exposure with manageable outcome.,TRUE,DERIVED,SILVER,HYBRID_VERIFIED,UNIQUE,GRP-00033
EVT-BSEE-0034,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0034,Hand Tools Pose Risk to Offshore Personnel,https://www.bsee.gov/safety-alerts/hand-tools-pose-risk-to-offshore-personnel,United States,US Gulf of Mexico / OCS,UNKNOWN,Drilling & Well Intervention,UNKNOWN,UNKNOWN,True,LINE_OF_FIRE,1,Lost time / serious personal injury sustained.,Local hazard exposure with manageable outcome.,UNKNOWN,UNKNOWN,BRONZE,HYBRID_VERIFIED,UNIQUE,GRP-00034
EVT-BSEE-0035,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0035,Improperly Depressurizing Piping to Remove a Hydrate Causes Injury,https://www.bsee.gov/safety-alerts/improperly-depressurizing-piping-to-remove-a-hydrate-causes-injury,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,Lifting & Rigging Operations,PRESSURE,DERIVED,True,DIRECT_PHYSICAL_CONTACT,1,None reported / Equipment stoppage or minor disruption.,"Fatal injection, impact, or explosion from uncontrolled high-pressure fluid release.",TRUE,DERIVED,SILVER,HYBRID_VERIFIED,UNIQUE,GRP-00035
EVT-BSEE-0036,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0036,Scam Alert-Suspicious Requests for Payment,https://www.bsee.gov/safety-alerts/scam-alert-suspicious-requests-for-payment,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,Subsea & Diving Operations,UNKNOWN,UNKNOWN,False,,0,None reported / Equipment stoppage or minor disruption.,Local hazard exposure with manageable outcome.,UNKNOWN,UNKNOWN,BRONZE,HYBRID_VERIFIED,UNIQUE,GRP-00036
EVT-BSEE-0037,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0037,BSEE Risk Based Inspection Identifies Welding and Burning Hazards,https://www.bsee.gov/safety-alerts/bsee-risk-based-inspection-identifies-welding-and-burning-hazards,United States,US Gulf of Mexico / OCS,UNKNOWN,Lifting & Rigging Operations,THERMAL,DERIVED,True,DIRECT_PHYSICAL_CONTACT,2,Minor injury requiring first aid or medical attention.,Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.,TRUE,EXPLICIT,GOLD,HYBRID_VERIFIED,UNIQUE,GRP-00037
EVT-BSEE-0038,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0038,Hazardous Helideck Conditions Results in Near Miss Incident,https://www.bsee.gov/safety-alerts/hazardous-helideck-conditions-results-in-near-miss-incident,United States,US Gulf of Mexico / OCS,UNKNOWN,Drilling & Well Intervention,UNKNOWN,UNKNOWN,False,,0,Minor injury requiring first aid or medical attention.,Local hazard exposure with manageable outcome.,UNKNOWN,UNKNOWN,BRONZE,HYBRID_VERIFIED,UNIQUE,GRP-00038
EVT-BSEE-0039,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0039,BSEE Safety Alert 480 - Fingerboard Locking Bolt Failure Leads to Near Miss Incident,https://www.bsee.gov/safety-alerts/bsee-safety-alert-480-fingerboard-locking-bolt-failure-leads-to-near-miss-incident,United States,US Gulf of Mexico / OCS,UNKNOWN,Lifting & Rigging Operations,PRESSURE,DERIVED,True,DIRECT_PHYSICAL_CONTACT,1,Fatal injury occurred.,Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.,TRUE,EXPLICIT,GOLD,HYBRID_VERIFIED,UNIQUE,GRP-00039
EVT-BSEE-0040,NEAR_MISS,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0040,BSEE Safety Alert 479 - Lack of Adherence to Helideck Safety Procedures Results in Series of Near Miss Incidents,https://www.bsee.gov/safety-alerts/bsee-safety-alert-479-lack-of-adherence-to-helideck-safety-procedures-results-in,United States,US Gulf of Mexico / OCS,UNKNOWN,Lifting & Rigging Operations,UNKNOWN,UNKNOWN,False,,1,Minor injury requiring first aid or medical attention.,Local hazard exposure with manageable outcome.,UNKNOWN,UNKNOWN,BRONZE,HYBRID_VERIFIED,UNIQUE,GRP-00040
EVT-BSEE-0041,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0041,BSEE Safety Alert 478 - Inadequately Maintained Electrical Connections and Compromised Wiring Integrity (6),https://www.bsee.gov/safety-alerts/bsee-safety-alert-478-inadequately-maintained-electrical-connections-and-compromised,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,Piping & Pressure Maintenance,THERMAL,DERIVED,True,DIRECT_PHYSICAL_CONTACT,0,Lost time / serious personal injury sustained.,Major hydrocarbon fire or explosion resulting in multiple fatalities and facility loss.,TRUE,DERIVED,SILVER,HYBRID_VERIFIED,UNIQUE,GRP-00041
EVT-BSEE-0042,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0042,BSEE Safety Alert 477 - Hazards of Working in Confined Spaces,https://www.bsee.gov/safety-alerts/bsee-safety-alert-477-hazards-of-working-in-confined-spaces,United States,US Gulf of Mexico / OCS,UNKNOWN,Subsea & Diving Operations,THERMAL,DERIVED,True,DIRECT_PHYSICAL_CONTACT,1,Minor injury requiring first aid or medical attention.,Local hazard exposure with manageable outcome.,TRUE,DERIVED,SILVER,HYBRID_VERIFIED,UNIQUE,GRP-00042
EVT-BSEE-0043,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0043,BSEE Safety Alert 476 - EI 158 Fatality Failure to Use Safety,https://www.bsee.gov/safety-alerts/bsee-safety-alert-476-ei-158-fatality-failure-to-use-safety,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,Drilling & Well Intervention,PRESSURE,DERIVED,True,DIRECT_PHYSICAL_CONTACT,2,Fatal injury occurred.,Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.,TRUE,EXPLICIT,GOLD,HYBRID_VERIFIED,UNIQUE,GRP-00043
EVT-BSEE-0044,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0044,BSEE Safety Alert 475 - Flash Fire from Oxygen Regulator Leads to Burn Injury,https://www.bsee.gov/safety-alerts/bsee-safety-alert-475-flash-fire-from-oxygen-regulator-leads-to-burn-injury,United States,US Gulf of Mexico / OCS,Offshore Fixed Platform,Lifting & Rigging Operations,PRESSURE,DERIVED,True,DIRECT_PHYSICAL_CONTACT,0,None reported / Equipment stoppage or minor disruption.,Catastrophic crushing / struck-by fatality from dropped heavy load or fall from height.,TRUE,DERIVED,SILVER,HYBRID_VERIFIED,UNIQUE,GRP-00044
EVT-BSEE-0045,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0045,BSEE Safety Alert 474 -Safely Approaching a Helicopter on Offshore Helidecks,https://www.bsee.gov/safety-alerts/bsee-safety-alert-474-safely-approaching-a-helicopter-on-offshore-helidecks,United States,US Gulf of Mexico / OCS,UNKNOWN,Drilling & Well Intervention,THERMAL,DERIVED,True,DIRECT_PHYSICAL_CONTACT,1,Fatal injury occurred.,Local hazard exposure with manageable outcome.,TRUE,DERIVED,SILVER,HYBRID_VERIFIED,UNIQUE,GRP-00045
EVT-BSEE-0046,INCIDENT,Bureau of Safety and Environmental Enforcement (BSEE),SRC-BSEE-0046,BSEE Safety Alert 473 -Carbon Monoxide Exposure Risk in Offshore Environments,https://www.bsee.gov/safety-alerts/bsee-safety-alert-473-carbon-monoxide-exposure-risk-in-offshore-environments,United States,US Gulf of Mexico / OCS,UNKNOWN,Drilling & Well Intervention,UNKNOWN,UNKNOWN,True,DIRECT_PHYSICAL_CONTACT,1,Fatal injury occurred.,Local hazard exposure with manageable outcome.,UNKNOWN,UNKNOWN,BRONZE,HYBRID_VERIFIED,UNIQUE,GRP-00046
